Size;Speed;StartingPredators;StartingPrey;EnergyMax;EnergyMin;EnergyMoveCost;EnergyFood;EnergyStart;ReproductionRequirement;ReproductionCost;BaseEnergyCost;PlantGrowthPerTick;TurnSpeed;StartingPlants;SPeciationFreshhold;AdddNodeMutationRate;AddConnectionMutationRate;WeightMutationRate;RemoveConnectionRate;PreyVisionAngel;PreyVisionAngels;PreyVisionRange;PreyInputNodes;PredatorVisionAngel;PredatorVisionAngels;PredatorVisionRange;PredatorInputNodes
125;1;200;400;100;0;0.125;45;25;70;60;0.075;0.75;45;0.01;0.0001;50;15;20;1;35;6;18;12;35;6;18;6
tick;PreyPopulation;PredatorPopulation;PlantPopulation;PreyDeathCausePredator;PreyDeathCauseStarvation;PreyDeathCauseAge;PreyDeathCauseEdge;PredatorDeathCauseStarvation;PredatorDeathCauseAge;PredatorDeathCauseEdge;PlantDeathCausePrey;PreyAvredgeGenomeSize;PredatorAvredgeGenomeSize;PreyTimeSinceLastFood;PredatorTimeSinceLastFood;PreyAvredgeLifeSpan;PredatorAvredgeLifeSpan;PreyChildren;PredatorChildren;PreyDeath;PredatorDeath
169;348;229;247;0;0;0;0;0;0;0;0;1.130077;1.176856;9.333333;22.8559;NaN;NaN;0;0;0;0
170;347;229;248;1;0;0;0;0;0;0;0;1.13026;1.176856;9.239193;22.54585;170;NaN;0;0;1;0
171;347;230;249;0;0;0;0;0;0;0;0;1.13026;1.177537;9.342939;22.68696;NaN;NaN;0;0;0;0
172;345;230;250;2;0;0;0;0;0;0;0;1.130242;1.177537;9.173913;22.89565;172;NaN;0;0;2;0
173;345;231;251;0;0;0;0;0;0;0;0;1.130242;1.17749;9.275362;23.03896;NaN;NaN;0;0;0;0
174;345;231;252;0;0;0;0;0;0;0;0;1.130242;1.17749;9.376812;23.28139;NaN;NaN;0;0;0;0
175;345;231;249;0;0;0;0;0;0;0;0;1.130242;1.17749;9.168116;23.52381;NaN;NaN;0;0;0;0
176;347;231;250;0;0;0;0;0;0;0;0;1.130452;1.17749;9.21902;23.76623;NaN;NaN;0;0;0;0
177;347;230;251;0;0;0;0;1;0;0;0;1.130452;1.177537;9.322766;23.34783;NaN;177;0;1;0;1
178;347;230;252;0;0;0;0;0;0;0;0;1.130452;1.177537;9.426513;23.58696;NaN;NaN;0;0;0;0
179;345;230;253;1;1;0;0;0;0;0;0;1.130725;1.177537;9.191304;23.7;179;NaN;1;0;2;0
180;345;231;254;0;0;0;0;0;0;0;0;1.130725;1.177249;9.292753;23.8355;NaN;NaN;0;0;0;0
181;345;231;255;0;0;0;0;0;0;0;0;1.130725;1.177249;9.394203;24.07359;NaN;NaN;0;0;0;0
182;345;231;254;0;0;0;0;0;0;0;0;1.130725;1.177249;9.495652;24.31169;NaN;NaN;0;0;0;0
183;344;231;255;1;0;0;0;0;0;0;0;1.130815;1.177249;9.627907;24.54978;183;NaN;0;0;1;0
184;344;231;255;0;0;0;0;0;0;0;0;1.130815;1.177249;9.325582;24.79221;NaN;NaN;0;0;0;0
185;344;231;256;1;0;0;0;0;0;0;0;1.130815;1.177249;9.430233;24.61039;1;NaN;0;0;1;0
186;344;232;257;0;0;0;0;0;0;0;0;1.130815;1.176964;9.534883;24.74569;NaN;NaN;0;0;0;0
187;344;232;258;0;0;0;0;0;0;0;0;1.130815;1.176964;9.639535;24.98707;NaN;NaN;0;0;0;0
188;342;232;259;2;0;0;0;0;0;0;0;1.130897;1.176964;9.801169;25.22845;138.5;NaN;0;0;2;0
189;342;231;260;0;0;0;0;1;0;0;0;1.130897;1.176528;9.906433;24.77489;NaN;189;0;1;0;1
190;342;230;261;0;0;0;0;1;0;0;0;1.130897;1.176812;10.0117;24.30869;NaN;190;0;1;0;1
191;342;230;261;0;0;0;0;0;0;0;0;1.130897;1.176812;10.11696;24.55217;NaN;NaN;0;0;0;0
192;342;230;261;0;0;0;0;0;0;0;0;1.130897;1.176812;10.22222;24.79565;NaN;NaN;0;0;0;0
193;341;229;262;1;0;0;0;1;0;0;0;1.130792;1.177099;10.30499;24.131;179;193;1;1;1;1
194;341;230;263;0;0;0;0;0;0;0;0;1.130792;1.176812;10.40762;24.26522;NaN;NaN;0;0;0;0
195;338;230;264;3;0;0;0;0;0;0;0;1.130178;1.176812;10.60355;24.08696;136.6667;NaN;0;0;3;0
196;338;232;264;0;0;0;0;0;0;0;0;1.130178;1.176964;10.7071;24.125;NaN;NaN;0;0;0;0
