Size;Speed;StartingPredators;StartingPrey;EnergyMax;EnergyMin;EnergyMoveCost;EnergyFood;EnergyStart;ReproductionRequirement;ReproductionCost;BaseEnergyCost;PlantGrowthPerTick;TurnSpeed;StartingPlants;SPeciationFreshhold;AdddNodeMutationRate;AddConnectionMutationRate;WeightMutationRate;RemoveConnectionRate;PreyVisionAngel;PreyVisionAngels;PreyVisionRange;PreyInputNodes;PredatorVisionAngel;PredatorVisionAngels;PredatorVisionRange;PredatorInputNodes
125;1;0;400;100;0;0.1;45;25;70;60;0.1;0.75;45;0.01;0.0001;50;15;20;1;35;6;18;12;35;6;18;6
tick;PreyPopulation;PredatorPopulation;PlantPopulation;PreyDeathCausePredator;PreyDeathCauseStarvation;PreyDeathCauseAge;PreyDeathCauseEdge;PredatorDeathCauseStarvation;PredatorDeathCauseAge;PredatorDeathCauseEdge;PlantDeathCausePrey;PreyAvredgeGenomeSize;PredatorAvredgeGenomeSize;PreyTimeSinceLastFood;PredatorTimeSinceLastFood;PreyAvredgeLifeSpan;PredatorAvredgeLifeSpan;PreyChildren;PredatorChildren;PreyDeath;PredatorDeath
88;413;0;195;0;0;0;0;0;0;0;0;1.102667;NaN;5.636804;NaN;NaN;NaN;0;0;0;0
89;413;0;196;0;0;0;0;0;0;0;0;1.102667;NaN;5.714286;NaN;NaN;NaN;0;0;0;0
90;413;0;196;0;0;0;0;0;0;0;0;1.102667;NaN;5.791768;NaN;NaN;NaN;0;0;0;0
91;413;0;197;0;0;0;0;0;0;0;0;1.102667;NaN;5.871671;NaN;NaN;NaN;0;0;0;0
92;413;0;197;0;0;0;0;0;0;0;0;1.102667;NaN;5.951574;NaN;NaN;NaN;0;0;0;0
93;413;0;197;0;0;0;0;0;0;0;0;1.102667;NaN;6.033898;NaN;NaN;NaN;0;0;0;0
94;413;0;197;0;0;0;0;0;0;0;0;1.102667;NaN;6.116223;NaN;NaN;NaN;0;0;0;0
95;413;0;197;0;0;0;0;0;0;0;0;1.102667;NaN;6.200969;NaN;NaN;NaN;0;0;0;0
96;413;0;197;0;0;0;0;0;0;0;0;1.102667;NaN;6.288136;NaN;NaN;NaN;0;0;0;0
97;413;0;197;0;0;0;0;0;0;0;0;1.102667;NaN;6.375303;NaN;NaN;NaN;0;0;0;0
98;413;0;197;0;0;0;0;0;0;0;0;1.102667;NaN;6.46247;NaN;NaN;NaN;0;0;0;0
99;413;0;198;0;0;0;0;0;0;0;0;1.102667;NaN;6.549637;NaN;NaN;NaN;0;0;0;0
100;413;0;199;0;0;0;0;0;0;0;0;1.102667;NaN;6.636804;NaN;NaN;NaN;0;0;0;0
101;413;0;199;0;0;0;0;0;0;0;0;1.102667;NaN;6.723971;NaN;NaN;NaN;0;0;0;0
102;413;0;200;0;0;0;0;0;0;0;0;1.102667;NaN;6.81356;NaN;NaN;NaN;0;0;0;0
103;413;0;200;0;0;0;0;0;0;0;0;1.102667;NaN;6.903148;NaN;NaN;NaN;0;0;0;0
104;413;0;201;0;0;0;0;0;0;0;0;1.102667;NaN;6.992736;NaN;NaN;NaN;0;0;0;0
105;413;0;202;0;0;0;0;0;0;0;0;1.102667;NaN;7.082325;NaN;NaN;NaN;0;0;0;0
106;413;0;201;0;0;0;0;0;0;0;0;1.102667;NaN;7.171913;NaN;NaN;NaN;0;0;0;0
107;413;0;201;0;0;0;0;0;0;0;0;1.102667;NaN;7.266344;NaN;NaN;NaN;0;0;0;0
108;413;0;202;0;0;0;0;0;0;0;0;1.102667;NaN;7.360775;NaN;NaN;NaN;0;0;0;0
109;413;0;203;0;0;0;0;0;0;0;0;1.102667;NaN;7.455206;NaN;NaN;NaN;0;0;0;0
110;413;0;203;0;0;0;0;0;0;0;0;1.102667;NaN;7.549637;NaN;NaN;NaN;0;0;0;0
111;412;0;204;0;1;0;0;0;0;0;0;1.102754;NaN;7.395631;NaN;111;NaN;1;0;1;0
112;412;0;204;0;0;0;0;0;0;0;0;1.102754;NaN;7.487864;NaN;NaN;NaN;0;0;0;0
113;412;0;204;0;0;0;0;0;0;0;0;1.102754;NaN;7.580097;NaN;NaN;NaN;0;0;0;0
114;412;0;205;0;0;0;0;0;0;0;0;1.102754;NaN;7.67233;NaN;NaN;NaN;0;0;0;0
115;412;0;206;0;0;0;0;0;0;0;0;1.102754;NaN;7.764563;NaN;NaN;NaN;0;0;0;0
116;412;0;207;0;0;0;0;0;0;0;0;1.102754;NaN;7.856796;NaN;NaN;NaN;0;0;0;0
117;411;0;208;0;1;0;0;0;0;0;0;1.102761;NaN;7.686131;NaN;117;NaN;1;0;1;0
118;411;0;209;0;0;0;0;0;0;0;0;1.102761;NaN;7.776156;NaN;NaN;NaN;0;0;0;0
119;411;0;208;0;0;0;0;0;0;0;0;1.102761;NaN;7.86618;NaN;NaN;NaN;0;0;0;0
120;411;0;209;0;0;0;0;0;0;0;0;1.102761;NaN;7.961071;NaN;NaN;NaN;0;0;0;0
121;411;0;210;0;0;0;0;0;0;0;0;1.102761;NaN;8.055961;NaN;NaN;NaN;0;0;0;0
122;411;0;211;0;0;0;0;0;0;0;0;1.102761;NaN;8.150851;NaN;NaN;NaN;0;0;0;0
123;411;0;210;0;0;0;0;0;0;0;0;1.102761;NaN;8.245742;NaN;NaN;NaN;0;0;0;0
124;411;0;211;0;0;0;0;0;0;0;0;1.102761;NaN;8.343065;NaN;NaN;NaN;0;0;0;0
125;411;0;212;0;0;0;0;0;0;0;0;1.102761;NaN;8.44039;NaN;NaN;NaN;0;0;0;0
126;411;0;213;0;0;0;0;0;0;0;0;1.102761;NaN;8.537713;NaN;NaN;NaN;0;0;0;0
127;411;0;214;0;0;0;0;0;0;0;0;1.102761;NaN;8.635036;NaN;NaN;NaN;0;0;0;0
128;411;0;214;0;0;0;0;0;0;0;0;1.102761;NaN;8.73236;NaN;NaN;NaN;0;0;0;0
129;410;0;215;0;1;0;0;0;0;0;0;1.102767;NaN;8.556098;NaN;129;NaN;1;0;1;0
130;410;0;216;0;0;0;0;0;0;0;0;1.102767;NaN;8.651219;NaN;NaN;NaN;0;0;0;0
131;409;0;216;0;1;0;0;0;0;0;0;1.102774;NaN;8.449878;NaN;131;NaN;1;0;1;0
132;409;0;217;0;0;0;0;0;0;0;0;1.102774;NaN;8.545232;NaN;NaN;NaN;0;0;0;0
133;408;0;217;0;1;0;0;0;0;0;0;1.102618;NaN;8.338235;NaN;133;NaN;1;0;1;0
134;408;0;218;0;0;0;0;0;0;0;0;1.102618;NaN;8.433824;NaN;NaN;NaN;0;0;0;0
135;408;0;218;0;0;0;0;0;0;0;0;1.102618;NaN;8.529411;NaN;NaN;NaN;0;0;0;0
136;408;0;218;0;0;0;0;0;0;0;0;1.102618;NaN;8.625;NaN;NaN;NaN;0;0;0;0
137;407;0;217;0;1;0;0;0;0;0;0;1.102706;NaN;8.410319;NaN;137;NaN;1;0;1;0
138;407;0;216;0;0;0;0;0;0;0;0;1.102706;NaN;8.491401;NaN;NaN;NaN;0;0;0;0
139;408;0;217;0;0;0;0;0;0;0;0;1.102618;NaN;8.571078;NaN;NaN;NaN;0;0;0;0
140;408;0;217;0;0;0;0;0;0;0;0;1.102618;NaN;8.671569;NaN;NaN;NaN;0;0;0;0
141;408;0;218;0;0;0;0;0;0;0;0;1.102618;NaN;8.772058;NaN;NaN;NaN;0;0;0;0
142;408;0;219;0;0;0;0;0;0;0;0;1.102618;NaN;8.872549;NaN;NaN;NaN;0;0;0;0
143;408;0;220;0;0;0;0;0;0;0;0;1.102618;NaN;8.97304;NaN;NaN;NaN;0;0;0;0
144;408;0;221;0;0;0;0;0;0;0;0;1.102618;NaN;9.073529;NaN;NaN;NaN;0;0;0;0
145;408;0;221;0;0;0;0;0;0;0;0;1.102618;NaN;9.17402;NaN;NaN;NaN;0;0;0;0
146;408;0;220;0;0;0;0;0;0;0;0;1.102618;NaN;8.987745;NaN;NaN;NaN;0;0;0;0
147;409;0;219;0;0;0;0;0;0;0;0;1.102611;NaN;9.070905;NaN;NaN;NaN;0;0;0;0
148;408;0;220;0;1;0;0;0;0;0;0;1.102454;NaN;8.840686;NaN;148;NaN;1;0;1;0
149;408;0;221;0;0;0;0;0;0;0;0;1.102454;NaN;8.946078;NaN;NaN;NaN;0;0;0;0
150;408;0;222;0;0;0;0;0;0;0;0;1.102454;NaN;9.051471;NaN;NaN;NaN;0;0;0;0
151;408;0;223;0;0;0;0;0;0;0;0;1.102454;NaN;9.156863;NaN;NaN;NaN;0;0;0;0
152;407;0;223;0;1;0;0;0;0;0;0;1.102542;NaN;8.914005;NaN;152;NaN;1;0;1;0
153;407;0;223;0;0;0;0;0;0;0;0;1.102542;NaN;9.017199;NaN;NaN;NaN;0;0;0;0
154;407;0;224;0;0;0;0;0;0;0;0;1.102542;NaN;9.120393;NaN;NaN;NaN;0;0;0;0
155;407;0;225;0;0;0;0;0;0;0;0;1.102542;NaN;9.223587;NaN;NaN;NaN;0;0;0;0
156;407;0;226;0;0;0;0;0;0;0;0;1.102542;NaN;9.326781;NaN;NaN;NaN;0;0;0;0
157;407;0;227;0;0;0;0;0;0;0;0;1.102542;NaN;9.429976;NaN;NaN;NaN;0;0;0;0
158;407;0;227;0;0;0;0;0;0;0;0;1.102542;NaN;9.53317;NaN;NaN;NaN;0;0;0;0
159;407;0;227;0;0;0;0;0;0;0;0;1.102542;NaN;9.636364;NaN;NaN;NaN;0;0;0;0
160;407;0;228;0;0;0;0;0;0;0;0;1.102542;NaN;9.742015;NaN;NaN;NaN;0;0;0;0
161;407;0;228;0;0;0;0;0;0;0;0;1.102542;NaN;9.847666;NaN;NaN;NaN;0;0;0;0
162;406;0;229;0;1;0;0;0;0;0;0;1.10263;NaN;9.586206;NaN;162;NaN;1;0;1;0
163;405;0;230;0;1;0;0;0;0;0;0;1.102719;NaN;9.31605;NaN;163;NaN;1;0;1;0
164;405;0;230;0;0;0;0;0;0;0;0;1.102719;NaN;9.419753;NaN;NaN;NaN;0;0;0;0
165;405;0;230;0;0;0;0;0;0;0;0;1.102719;NaN;9.523457;NaN;NaN;NaN;0;0;0;0
166;403;0;231;0;2;0;0;0;0;0;0;1.102898;NaN;9.674938;NaN;166;NaN;0;0;2;0
167;403;0;232;0;0;0;0;0;0;0;0;1.102898;NaN;9.779157;NaN;NaN;NaN;0;0;0;0
168;403;0;232;0;0;0;0;0;0;0;0;1.102898;NaN;9.883374;NaN;NaN;NaN;0;0;0;0
169;403;0;233;0;0;0;0;0;0;0;0;1.102898;NaN;9.987593;NaN;NaN;NaN;0;0;0;0
170;403;0;233;0;0;0;0;0;0;0;0;1.102898;NaN;10.09181;NaN;NaN;NaN;0;0;0;0
171;403;0;233;0;0;0;0;0;0;0;0;1.102898;NaN;10.19603;NaN;NaN;NaN;0;0;0;0
172;403;0;233;0;0;0;0;0;0;0;0;1.102898;NaN;10.30025;NaN;NaN;NaN;0;0;0;0
173;403;0;234;0;0;0;0;0;0;0;0;1.102898;NaN;10.40695;NaN;NaN;NaN;0;0;0;0
174;403;0;235;0;0;0;0;0;0;0;0;1.102898;NaN;10.51365;NaN;NaN;NaN;0;0;0;0
175;403;0;236;0;0;0;0;0;0;0;0;1.102898;NaN;10.62035;NaN;NaN;NaN;0;0;0;0
176;403;0;237;0;0;0;0;0;0;0;0;1.102898;NaN;10.72705;NaN;NaN;NaN;0;0;0;0
177;403;0;237;0;0;0;0;0;0;0;0;1.102898;NaN;10.83375;NaN;NaN;NaN;0;0;0;0
178;403;0;237;0;0;0;0;0;0;0;0;1.102898;NaN;10.94045;NaN;NaN;NaN;0;0;0;0
179;403;0;238;0;0;0;0;0;0;0;0;1.102898;NaN;11.04715;NaN;NaN;NaN;0;0;0;0
180;403;0;239;0;0;0;0;0;0;0;0;1.102898;NaN;11.15385;NaN;NaN;NaN;0;0;0;0
181;403;0;240;0;0;0;0;0;0;0;0;1.102898;NaN;11.26055;NaN;NaN;NaN;0;0;0;0
182;403;0;240;0;0;0;0;0;0;0;0;1.102898;NaN;11.36725;NaN;NaN;NaN;0;0;0;0
183;403;0;240;0;0;0;0;0;0;0;0;1.102898;NaN;11.47395;NaN;NaN;NaN;0;0;0;0
184;403;0;241;0;0;0;0;0;0;0;0;1.102898;NaN;11.58065;NaN;NaN;NaN;0;0;0;0
185;403;0;241;0;0;0;0;0;0;0;0;1.102898;NaN;11.68734;NaN;NaN;NaN;0;0;0;0
186;403;0;242;0;0;0;0;0;0;0;0;1.102898;NaN;11.79653;NaN;NaN;NaN;0;0;0;0
187;403;0;243;0;0;0;0;0;0;0;0;1.102898;NaN;11.90571;NaN;NaN;NaN;0;0;0;0
188;402;0;244;0;1;0;0;0;0;0;0;1.102988;NaN;12.04478;NaN;188;NaN;0;0;1;0
189;396;0;245;0;6;0;0;0;0;0;0;1.102781;NaN;12.33838;NaN;189;NaN;0;0;6;0
190;395;0;246;0;1;0;0;0;0;0;0;1.102872;NaN;12.48101;NaN;190;NaN;0;0;1;0
191;393;0;247;0;2;0;0;0;0;0;0;1.102802;NaN;12.65649;NaN;191;NaN;0;0;2;0
192;389;0;248;0;4;0;0;0;0;0;0;1.102659;NaN;12.89974;NaN;192;NaN;0;0;4;0
193;385;0;249;0;4;0;0;0;0;0;0;1.102687;NaN;13.14805;NaN;193;NaN;0;0;4;0
194;382;0;250;0;3;0;0;0;0;0;0;1.102446;NaN;13.36649;NaN;194;NaN;0;0;3;0
195;381;0;250;0;1;0;0;0;0;0;0;1.10254;NaN;13.51706;NaN;195;NaN;0;0;1;0
196;381;0;250;0;0;0;0;0;0;0;0;1.10254;NaN;13.63517;NaN;NaN;NaN;0;0;0;0
197;380;0;250;0;1;0;0;0;0;0;0;1.102634;NaN;13.78947;NaN;197;NaN;0;0;1;0
198;377;0;250;0;3;0;0;0;0;0;0;1.102655;NaN;14.01857;NaN;198;NaN;0;0;3;0
